Device,Time,Date,(1) Map,(1) Waits,(1) Shows,(1) Tips,(1) Bonus,(1) Game,(2) Not work as expected?,If yes...,(3) Influence?,If yes...,(4) Enough time?,If no...,(5) Overall Experience,(5a) Why?,(6) Merchandise Locations,(6a) What drove decision?,(7) Amount on merchandise,(8) F&B Locations,(8a) What drove decisions?,(9) Amount on F&B,(10) Meals eaten,(11) Attractions visisted,(13) Experience #1,(13) Experience #2,(13) Experience #3,(14) Age of user,(14) Gender of user,(15) Paper map?,(16) Paper schedule?,(17) Get lost?,(18) How closely did you follow plan?,(18a) What diverted original plans?,(19) Ride because of low wait times?,(19a) If yes....,(20) Get fast passes?,(20a) If yes...,(20c) Use them?,(20c) If no...,(21) Group split?,(21a) If yes...,(21b) Who kept the device?,(22) Other comments?
61,16:05:00,4/28/2011,7,7,3,0,,4,No,,No,,No,Only one message said to hand in device ,Excellent,Very helpful to review the waits,Walt Disney Studio Store and Disney Store,Proximity,100,My group did not purchase any meals or snacks at the Disneyland Paris Resort today,,,Dinner,,Cars Rally,Haunted mansion,crush's coaster,38,M,Yes,Yes,Never,Closely,Long waits,Yes,"Pirates of the Carribean, haunted mansion",No,,,,Yes,"One 6 yr old, one 0 year old, one parent had to stay with the 0 year old",the baby carriage,"When zooming into a map, if you want to check your location with the ""find"" button, you need to zoom out first. A button to ""find me"" when zoomed in would be nice."
61,19:15:00,4/30/2011,7,6,4,7,7,7,No,,Yes,Attente,Yes,Cadre photo mickey,Very good,Fache d unusation,"Indiana Jones adventure outpost, disney store","Merchandise offerings, store look and feel, proximity",100,"Buzz Lightyears pizza planet, Cafe hyperion","Food offerings, wait time, proximity, price",50,Lunch and afternoon snack,"Art of disney animation, studio tram tour, rock n roller coaster",space mountain,indiana jones,rock n roller coaster,14,Male,Yes,No,Never,Exactly,Long waits,Yes,Indiana Jones,Yes ,space mountain,Yes,,Yes,age and sex,M,
61,16:20:00,4/29/2011,7,7,,4,5,7,no,,yes,,no,,Excellent,"Very Satisfied by the options, more time to do the attractions",My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland paris resort today,,,,"Armageddon, rock n roller coaster",rock n roller coaster,armageddon,parachute,40,F,no,no,never,"does not apply, did not have a plan",,yes,rock n roller coaster,yes,buzz lightyear,yes,no,,,,Enjoying
61,17:42:00,4/21/2011,7,6,0,5,0,7,no,,no,,yes,we just decided not to,excellent,it was great and very useful,"The emporium, thunder mesa mercantile, disney store, world of toys","merchandise offerings, store look and feela nd reservations",,,"food offerings, wait times and proximity",30,afternoon snack,,space muntain,big thunder mountain railroad,parade,10,male,no,no,never,loosely,long waits and tired children,no,,yes,space mountain,yes,,yes,children too small for ride,11 year old,try to add buy fast passes and screen not seen in sun
62,21:25:00,4/23/2011,4,7,6,7,7,5,y,Restaurant details,y,Where to eat & rides,y,,Excellent,,,"Merchandise offerings, Store look and feel, Bonus",60,Buzz Lightyear's Pizza Planet,,,,,,,,,,,,,,,,,,,,,,,,
62,21:05:00,4/24/2011,6,6,4,3,4,5,no,,no,,no,,good,pratique,Indiana Jones adventure outpost,store look and feel and proximity,40,,,,,,,,,,,,,,,,,,,,,,,,,
62,11:45:00,4/26/2011,6,7,3,2,7,1,yes,recharge = charge,yes,,yes,,very good,,,proximity,100,Restaurant en Coulisse,,,,,,,,,,,,,,,,,,,,,,,,
62,21:10:00,4/27/2011,7,7,5,5,7,7,y,difficulty with the screen,y,,y,Stores and restaurants,Very Good,Useful,,Merchandise offerings,30,Restaurant en Coulisse,Bonus,30,Afternoon Snack,"it's a small world, Alice's Curious Labyrinth, Art of Disney Animation, Stitch Live!, Flying Carpets over Agrabah, Studio Tram Tour, Moteurs... Action! Stunt Show",Pirates of the Caribbean,,,35,m,y,n,Never,Loosely,"Long waits, Bonus",y,"Pirates of the Caribbean, it's a small world",n,,,,n,,,"Add wait times in the map. Indicate details as well, such as dangers, recommended age, etc. of each attraction. Also include an option to rank each attraction (taking into account waiting time and age). "
62,21:40:00,4/27/2011,7,7,5,5,7,7,y,Difficulty with the screen,y,,y,Stores and restaurants,Very Good,Useful,,Merchandise Offerings,30,Restaurant En Coulisse,Bonus,30,Afternoon Snack,"it's a small world, Alice's Curious Labyrinth, Art of Disney Animation, Stitch Live!, Flying Carpets over Agrabah, Studio Tram Tour, Moteurs... Action! Stunt Show",,Pirates of the Caribbean,,35,M,y,n,Never,Loosely,"Long waits, Bonus",y,"Pirates of the Caribbean, it's a small world",n,,,,n,,,"Add waiting times in the map; indicate details as well (dangers, age, etc.). Possibility to rank the attraction (taking into account waiting time and age)."
62,21:35:00,4/29/2011,7,7,7,1,7,5,Yes,ran out,yes,shorter queing,yes,,Excellent,Really useful,The Emporium,Proximity,20,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,Other- Brought out own,,,"La Cabane des Robinson, Le pays des contes de fees, Alice's Curious Labyrinth, Its a small world, Art of Disney Animation, Flying Carpets over agrabah, Cinemagique, Rock n roller coaster, tower of terror",Kids Happy,Lots of other,Buzz Lightyear,11,Male,Yes,no,Never,Does not apply did not have a plan,,yes,,yes,Buzz lightyear,yes,,yes,Different ride requirements,Both at different times,Fab!
62,,4/30/2011,5,2,7,2,5,2,Yes,Map didn't show all attractions,No,,Yes,,Good,Could have been better,"The Emporium, La Girafe Curieuse",Bonus,100,"Agrabah Cafe Restaurant, Colonel Hathi's Pizza Outpost","Wait times, price, Proximity",50,"Lunch, afternoon snack, dinner",Its a small world,Show, ,,40,F,Yes,No,a few times,Closely,Long Waits,Yes,Its a small world,Yes,Peter pan,,,No,,,The device should have shop/restraurant info
62,20:20:00,4/21/2011,4,5,2,2,0,0,yes,late updates,yes,because waiting times,no,the updates were too late,good,nice device but too many problems with the update,,merchandise offerings and proximity,,20,price and counter service vs table service,45,lunch and afternoon snack,captain eo and tower of terror,tower of terror,space mountain,haunted mansion,29,male,yes,yes,a few times,closely,long waits and tired children,yes,captain eo,yes ,space mountain,yes,,yes,2 groups,adults,the device was too big
63,15:08:00,4/23/2011,7,0,0,7,0,0,n,,n,,,,Very good,Useful to know where to go/what to do,My group has not purchased and merchandiseat the Disneyland Paris Resortthis trip-- Skip to question 8,,,,"Wait time, Price",27,Lunch,Alice's Curious Labrynth,Snow White,Rapunzel,Dumbo,3,f,n,n,never,Loosely,Tired Children,n,,n,,n,,n,,,n/a
63,21:20:00,4/24/2011,7,7,7,2,5,5,no,,yes,waiting times,yes,,very good,Very Awesome,"Walt Disney Studio Store, Tower hotel gifts",proximity,200,My group has not purchased any meals or snacks at the disneyland paris resort today,,,,,,,,,,,,,,,,,,,,,,,,
63,16:20:00,4/26/2011,7,6,4,4,7,0,yes,no charge,no,,yes,beach towel,very good,good device,,Store look and feel and proximity,60,,Food offerings,65,Lunch,"La cabane des robinson, Alice's Curious Labyrinth",Crush's Coaster,Space Mountain,Alice's Curious Labyrinth,18,Female,yes,no,never,does not apply did not have a plan,,no,,no,,,,no,,,No comment
63,19:00:00,4/27/2011,5,5,5,4,4,4,n,,y,,n,,Very Good,,,Store look and feel,30,,Other,,Dinner,,,,,41,m,,,,Loosely,Bonus,n,,n,,,,,,,
63,21:00:00,4/29/2011,5,5,3,5,4,4,No,,No,,No,,good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,Proximity,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,Proximity,,Morning Snack,,Peter Pan,,,43,Male,yes,yes,Never,Closely,tired children,yes,Peter Pan,yes/no,,no,,no,,,
63,10:15:00,4/30/2011,1,7,0,2,4,2,Yes,Batterie,Yes,,Yes, ,Good,, , ,,Cafe Hyperion,price,26,Dinner,"le pays des contes de fees, its a small wold, captain EO, Armageddon, Rock n roller coaster, tower of terror, playhouse Disney live on stage",BTN,Rock n roller coaster,Indiana Jones,20,Female,NYes,No,Never,loosely,Long waits and other- panne (TOT) attraction,Yes,Indiana Jones,No,,No,,No,,,
63,19:30:00,4/28/2011,7,7,7,6,2,1,no,,yes,Choose locations/attractions,no,,very Good,handy tool,"The emporium, Tower Hotel Gifts",Store look and feel,200,My group has not purchased any meals or snacks at the Disneyland paris resort today,Other- Disney figure at Mickey Cafe,700,Breakfast and lunch,"Captain EO, Stitch Live, Flying carpets over agrabah, tower of terror",tower of terror,rock n roller coaster,captain EO,39,Male,no,no,never,does not apply did not have a plan,long waits and tired children,no,,no,,,,no,,,
63,18:30:00,4/28/2011,6,6,4,5,6,5,no,,yes,tiempo d' attente,yes,,very Good,utile et und a'jour,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland paris resort today,,,,Its a small world,,,,38,Male,no,no,never,not at all,long waits and bonus,yes,lasses,no,,,,no,,,el manque dous les cousils des attractions les restrictions
63,18:35:00,4/21/2011,6,5,5,3,5,5,no,,no,,yes,,very good,,my group has not purchased any merchandise at the disneyland paris resort today,,,Restaurant en coulisse,bonus,35,lunch and afternoon snack,"art of disney animation, armageddon, tower of terror",rc racer,tower of terror,space mountain,35,male,no,no,never,loosely,long waits,yes,art of disney animation,no,,,,no,,,
64,,4/23/2011,7,7,,,,,n,,n,,y,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,19:50:00,4/28/2011,7,7,5,5,7,2,Yes,The fast pass available didnt go at space mountain,No,,Yes,,Very Good,,Store near Pirates of the Carribean and La Girafe Curiuse,Merchandise offerings and store look and feel and other- on the way,200,Cowboy cookout barbeque and restaurant Hakuna Matata,Bonus and reservations,70,Lunch,"flying carpets over agrabah, rock n roller coaster, Moteurs action stunt show",Moteurs action stunt show,Peter pan,Railroad train,33,Female,Yes-sometimes,No,Never,Closely,Long waits,Yes,Peter pan,No,,,,Yes,because of the children,,The waiting times are not correct
64,18:30:00,4/29/2011,5,5,6,5,4,5,No,,No,,No,,good,Very useful,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,,"La cabane des robinson, Alice's Curious labyrinth, its a small world, stitch live",Its a small world,,,23,Male,no,no,a few times,not at all,,yes,Alice's Curious Labyrinth,no,,,,no,,,
64,19:35:00,4/30/2011,7,3,0,5,7,6,Yes,Waiting times not accurate at all,No,,Yes,,Excellent,"A lot easier to follow than paper map, excellent savings","The emporium, la girafe curieuse","Bonus, proximity",200,Restaurant Hakuna Matata,Bonus,50,Morning snack and dinner,,Autopia,buzz lightyear,star tours,36,F,No,No,Never,Does not apply - did not have a plan,,No,,Yes,Buzz Lightyear lasers,Yes,,No,,,Brilliant Device
65,15:40:00,4/23/2011,6,4,3,0,0,0,n,,n,,n,,Just Okay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,22:00:00,4/24/2011,3,6,0,0,1,0,no,,yes,,no,,very good,,My group has not purchased any merchandise from the disneyland paris resort today,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,18:57:00,4/21/2011,3,5,5,4,4,2,no,,yes,,no,,good,nice experience,my group has not purchased any merchandise at the disneyland paris resort today,,,"Restaurant hakuna matata, au chalet de la marionette",ngs,50,lunch  ,la cabane des robinson and alice's curious labyrinth,buzz lightyear,photos with characters,la cabane des robinson,,,no,no,never,loosely,wait times and tired children,yes,la cabane des robinson,yes,Buzz lightyear,yes,,yes,to take pictures with characters,the wife,no comment nothing to add
66,18:10:00,4/24/2011,7,7,7,0,0,3,no,,no,,no,,good,,,store look and feel,40,My group has not purchased any meals or snacks at the Disneyland Paris resort,,,,,,,,,,,,,,,,,,,,,,,,
66,16:05:00,4/26/2011,6,5,5,2,2,1,yes,The device didn't work for one day,no,,no,the device didn't work for the whole experience,good,Because the device was broken,My group has not purchased any merchandise at the Disneyland Paris Resort today,,100,"Colonel Hathis pizza outpost, Restaurant en coulisse","wait times, price",40,lunch and dinner,"Stitch live, flying carpets over agrabah, studio tram tour, moteurs action stunt show, playhouse disney live on stage",Moteurs action stunt show,playhouse disney live,cars,"6,3,31,39,65",Male and female,yes,no,never,does not apply did not have a plan,,yes,children,yes,buzz lightyear,yes,,no,,,"add a camera to the device, store the events in device. (?)"
66,19:20:00,4/27/2011,7,7,5,4,6,5,,Show could be more discriptive in terms of language,y,Helped in planning and time management,n,,Very Good,Helped in time management and planning,,"Store look and feel, Proximity",150,My group has not purchased any meals or snacks at the Disneyland Paris Resortthis trip - Skip to question 9,,300,"Breakfast, Dinner","Stitch Live!, Rock 'n' Roller Coaster, Tower of Terror, Studio Tram Tour",Studio Tram Tour,Tower of Terror,Rock 'n' Roller,33,f,y,y,A few times,Exactly,Long waits,y,,y,Rock 'n' Roller Coaster,n,We could not get fastpasses together due to timing and age difference,y,Age limit of some attractions,Self (female),"It's a good device, though some details can be added to make things easier"
66,19:20:00,4/27/2011,7,7,5,4,6,5,,Show could be more descriptive in terms of language,y,helped in planning & time management,n,,Very Good,Helped in time management and planning,,"Store look and feel, Proximity",150,My group has not purchased any meals or snacks at the Disneyland Paris Resortthis trip - Skip to question 9,,300,"Breakfast, Dinner","Stitch Live!, Rock 'n' Roller Coaster, Flying Carpets over Agrabah, Tower of Terror, Studio Tram Tour",Studio Tram Tour,Tower of Terror,Rock 'n' Roller Coaster,33,f,y,y,A few times,Exactly,Long waits,y,in terms of order,y,Rock 'n' Roller Coaster,n,We could not get fastpasses together due to timing and age difference ,y,Age limit of some attractions,myself,"It's a good device, though some details can be added to make it easier. "
66,15:15:00,4/28/2011,5,4,5,0,0,9,No,,No,,Yes,,Just Okay,,,Store look and feel,35,,,25,Afternoon snack,,,,,38,,Yes,No,Never,Does not apply did not have a plan,,Yes,,No,,,,No,,,
66,19:55:00,4/29/2011,6,7,7,4,7,7,No,,yes,chang en ent ol' attractive cur biop ol'attente,yes,serviette le boin (studio tram tour),very Good,"Simple, pratique, reoclip","Walt Disney Studio Store, Disney Store",Merchandise offerings and proximity,135,"Disney Blockbuster cafe, pizzeria bella notte","Price, other - Thame'",50,Afternoon snack,"Its a small world, Moteurs action stunt show",Moteurs action stunt show,La calebration Magique,Eu riuvant le guide,38,Male,No,Yes,Never,Closely,Long waits,yes,"star tours, les terras de chapelier",no,,,,no,"Il manque la liste des boutiques, restos et spectacles comme ou peut les trouren sue un plum classique",,
66,15:15:00,4/28/2011,5,4,5,0,0,5,No,,no,,yes,,Just Okay,,,store look and feel,35,,,25,Aftenroon snack,,,,,38,,yes,no,never,does not apply did not have a plan,,yes,,no,,,,no,,,
66,17:50:00,4/21/2011,5,7,0,3,0,7,no,,no,,no,,very good,,"Indiana jones adventure outpost, la girafe curieuse",,50,My group has not purchased any meals or snacks at the disneyland paris resort today,, ,lunch,"la cabane des robinson, le pays des contes de fees, alice's curious labyrinth, its a small world, captain EO, art of disney animation, stitch live, flying carpets over agrabah, studio tram tour, cinemagique, rock n roller coaster, tower of terror, moteurs action stunt show, playhouse disney live on stage",tower of terror,space mountain,stitch live,18,female,no,no,never,closeley,long waits,no,,yes,,,,no,,,
67,21:55:00,4/23/2011,6,6,5,5,0,6,y,,y,Wait times,n,"turned off, didn't work",Poor,Stopped working after 30 minutes,My group has not purchased and merchandiseat the Disneyland Paris Resortthis trip-- Skip to question 8,Fuente del Oro Restaurante,,,,,,,,,,,,,,,,,,,,,,,,,,
67,21:55:00,4/23/2011,6,6,5,5,0,6,Y,Loggel Ne Marche Pas Apres Demi Neure,Y,Tiempo de espera,N,"Bioqueado, No Funziona",Poor,Bloqueado En 30 Minutes,My group has not purchased any merchandise at Disneyland Paris Resort,,,Fuente del Oro Restaurante,,,,,,,,,,,,,,,,,,,,,,,,
67,12:06:00,4/24/2011,0,0,0,0,0,0,yes,"No brightness, no zoom",,,no,go up,poor,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,Reservations,,Dinner,Its a small world,,,,55,Male and female,yes,yes,never,loosely,long waits,yes,,yes,,yes,,,,,
67,13:00:00,4/24/2011,7,7,7,7,7,3,no,,,,,,excellent,,,Merchandisce offerings and store look and feel,100,,,,,,,,,,,,,,,,,,,,,,,,,
67,16:25:00,4/30/2011,7,7,7,7,7,7,No,,Yes,,Yes,,Good,Useful,"Walt Disney studios store, disney store",200,Bonus,"Cowboy cookout barbeque, Disney Blockbuster cafe",Counter service vs table service,100,Afternoon snack and dinner,"La cabane des robinson, le pays des contes de fees, captain eo, art of disney animation, stitch live, flying carpets over agrabah, studio tram tour, cinemagique, armeageddon, rock n roller coaster, tower of terror, moteurs action stunt show, playhouse disney live on stage",Hollywood tower hotel,star tour,stitch live,16,Male,Yes,Yes,Never,Loosely,Bonus,No, ,Yes,Hotel,Yes, ,No,,,
67,19:20:00,4/21/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,14:25:00,4/23/2011,5,4,5,3,3,4,n, ,y,,y,,Excellent,,"Indiana Jones, Plaza West Shop",Merchandise Offerings,50,"Buzz Lightyear, Cafe Hyperion",,,,,,,,,,,,,,,,,,,,,,,,
68,16:45:00,4/24/2011,7,7,7,,6,0,no,,no,,yes,,very good,,"La girafe curieuse, walt disney studio store, disney store",,150,"Cowboy cookout barbeque, pizzeria bella notte",,,,,,,,,,,,,,,,,,,,,,,,
68,17:53:00,4/25/2011,7,7,7,6,7,5,No,,Yes,Choice of activity,Yes,,Excellent,It made our visit easier,Les legends de hollywood,"Merchandise offerings, bonus",80,Pizzeria Bella Note,Wait time,100,"Lunch, afternoon snack","Art of Disney Animation, Flying Carpets over agrabah, armageddon, rock n roller coaster",Atmosphere,Attractions,,28,Female,No,No,Never,Not at all,Long waits,Yes,"tea cups, flying carpets, rock n roller coaster",Yes,Rock n roller coaster,No,sick boy,Yes,different choices of activities,the same,toilet information
68,20:20:00,4/26/2011,7,7,0,3,7,1,no,,yes,infos pur temps d' attente,yes,,very Good,infos ubles,Disney Store,Merchandise offerings and store look and feel,60,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,,"Alice's Curious Labyrinth, studio tram tour, tower of terror",star tours,crush's coaster,studio tram tour,42,Male,no,no,never,closely,long waits,yes,alice,no,,,,no,,,
68,13:25:00,4/27/2011,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,19:20:00,4/28/2011,7,6,3,1,1,4,No,,Yes,,No,trop e'loigne',good,Lisigiete' moyenne,My group has not purchsed any merchandise at the Disneyland Paris resort today,,,Cafe Hyperion,,,,,,,,,,,,,,,,,,,,,,,,
68,19:10:00,4/28/2011,7,6,3,1,1,4,no,,yes,,no,Trop eloigne,good,moyenne,My group has not purchased any merchandise at the Disneyland Paris Resort Today,,,Cafe Hyperion,,,,,,,,,,,,,,,,,,,,,,,,
68,16:19:00,4/21/2011,,,,,,,no,,yes,the wait of attractions,yes,read them and ignored,very good,it was handy and gave our location,My group has not purchased any merchandise at the disneyland paris resort today,,,Disney blockbuster cafe,,,,,,,,,,,,,,,,,,,,,,,,
69,18:40:00,4/24/2011,7,7,0,6,0,0,no,,no,,yes,,excellent,me gusto mucho,,Proximity,60,,,,,,,,,,,,,,,,,,,,,,,,,
69,18:00:00,4/25/2011,6,6,4,3,5,5,Yes,It stopped working,No,,Yes,,Excellent,Fast,Walt Disney Studios Store,Store look and feel,80,Disney blockbuster cafe,Reservation,30,"Breakfast, lunch, afternoon snack and dinner","La cabane des Robinson, le pays des contes de fees, its a small world, art of disney animation, stitch live, flying carpets over agrabah, studio tram tour, rock n roller coaster, tower of terror, moteurs action stunt show, playhouse disney live on stage",stitch Live,Its a small world,Moteurs action stunt show,38,Male,No,Yes,Never,Closely,Long waits,Yes,Snow white,Yes,Big thunder mountain railroad,Yes,,Yes,Different ages,Papa,perfect
69,21:00:00,4/26/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,16:35:00,4/27/2011,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,15:30:00,4/28/2011,,,,,,,No,,No,,No,,Very Good,with wait time ? enter the attraction. The wait time isn't corresponding,,Store look and feel,30,,,,Breakfast,,The Disneyland Railroad,, ,40,M,No,No,Never,Closely,Other - The attraction closed,No,,No,,,,No,,,The wait time on the device isn't corresponding. not the same with entry of  attraction
69,18:00:00,,5,4,2,2,3,4,Y,Stopped Working,Y,Waiting Times,Y,Percent of Reduction,Good,Failure,Indiana Jones,,20,Cowboy Cookout BBQ,,,,,,,,,,,,,,,,,,,,,,,,
69,15:30:00,4/28/2011,,,,,,,no,,no,,no,,Very Good,The wait time isn't corresponding,,Store look and feel,30,,,,Morning Snack,,Disneyland Railroad,,,40,Male,no,no,never,closely,other - attraction closed,no,,no,,,,no,,,wait times not corresponding with entry to the attraction
69,14:40:00,4/21/2011,5,7,6,5,6,7,no,,yes,,no,,very good,,The emporium,store look and feel and proximity,60,Cowboy cookout barbeque,counter service vs table service,50,lunch,"rock n roller coaster, tower of terror, moteurs action stunt show",space mountain,big thunder mountain railroad,pirates of the carribean,40,male,yes,yes,never,loosely,long waits,no,,yes,rock n roller coster,yes,,no,,,
70,19:20:00,4/23/2011,5,6,0,4,5,5,N,,Y,,Y,,Good,,Tower hotel gifts and art of animation,Conditiones de tiempo,10,My group has not purchased any meals or snacks at the Disneyland Paris Resort Today.,,10,Afternoon Snack,"La Cabane des Robinson, Le Pays des Contes de Fees, Alisce's Curious Labyrinth, It's a small world, Art of Disney Animation, Armageddon: Les Effets Speciaux, Rock 'n' Roller Coaster, Playhouse Disney Live on Stage",Montain,Aerosmith,Hotel,37,,,Y,No,Loosely,Long Waits,Y,,Yes,Paltillos Aladin,,,Y,Nos Montamos en distitas por altura,yo muser,
70,19:30:00,4/25/2011,5,7,7,7,7,7,Yes,Stopped working,Yes,waiting times,Yes, ,Very Good,Very Useful,,,,Restaurant en Coullise,Proximity,40,Lunch and afternoon snack,"Le pays des contes de fees, alice's Curious labyrinth, Its a small world, stitch live, flying carpets over agrabah, rock n roller coaster, tower of terror, moteurs action stunt show",Pirates of the Carribean,Jumbo,Tower of terror,30,Female,Yes,Yes,Never,Loosely,Long waits,Yes,Cars and rock n roller coaster,No, ,No, ,Yes, ,Girls,Develop games - useful when waiting
70,17:45:00,4/21/2011,6,7,0,0,2,2,yes,broken device,yes,because of the waiting times,no,,very good,waiting time,My group has not purchased any merchandise at the disneyland paris resort today,,,,,40,lunch,its a small world,pirates of the carribean,its a small world,parade,"35, 6",Male,no,no,a few times,does not apply did not have a plan,long waits and tired children,yes,,no,,,,no,,,
71,20:10:00,4/24/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,4/21/2011,4,4,3,5,2,5,yes,should add more games to entertain the children and the device turned off,no,,no,weren't planning to buy anything that day,good,,My group has not purchased any merchandise at the disneyland paris resort today,,,My group has not purchased any meals or snacks at the disneyland paris resort today,,,,,,,,,,,,,,,,,,,,,,,,
72,18:07:00,4/23/2011,7,7,7,6,6,3,No,,Yes,,No,,Excellent,,Indiana Jones adventure outpost,Merch. Offerings,100,Restaurant Hakuna Matata,Reservations,50,Lunch ,"La Cabane des Robinson Le pays des Contes de fees, Captain EO",Pirates,Space Mountain,Joisan Faulic?,52,,No,No,Never,Loosely,Long Waits,Y,Pirates,,,,,No,,,Offer more fast passes
72,20:50:00,4/24/2011,7,7,7,5,5,4,no,,no,,yes,,good,,The Emporium,Merchandise offerings and proximity,150,Au chalet de la marionette,proximity and counter service vs table service,60,lunch and afternoon snack,"la cabane des robinson, alice's curious labyrinth, its a small world",Dumbo,Big Thunder mountain railroad,,36,Male,yes,yes,never,does not apply did not have a plan,long waits,yes,,no,,,,yes,attractions qui ue convenoieut fas a',moi,il est do ? que les temps d'attente ue concerment fos que les attractions a pioriuite'
72,13:50:00,4/28/2011,7,7,3,4,7,7,No, ,Yes,,Yes,,good,,,,,,"Food offerings, wait times, price",150,"Breakfast, lunch and dinner","La cabane des robinson, le pays des contes de fees, alice's curious Labyrinth, flying carpets over agrabah, cinemagique",,,,8,F,Yes,Yes,Never,Exactly,Long waits,Yes,,,,,,No,,,
72,13:50:00,4/28/2011,7,7,3,4,7,7,No,,yes,,yes,,good,,,,,,"Food offerings, wait times and price",150,"morning snack, lunch and dinner","La cabane des robinson, le pays des contes de fees, alice's curious labyrinth, flying carpets over agrabah, cinemagique",,,,8,Female,yes,yes,never,exactly,long waits,yes,,,,,,no,,,
72,18:45:00,4/21/2011,5,5,5,5,5,5,no,,yes,,yes,,excellent,,"Indiana jones adventure outpost, walt disney studios store",merchandise offerings and store look and feel,,Au chalet de la marionette,proximity,,lunch,"la cabane des robinson, le pays des contes de fees, alice's curious labyrinth, captain eo, studio tram tour, rock n roller coaster, tower of terror, moteurs action stunt show",captain eo,moteurs action stunt show,big thunder mountain railroad,,Male and female,no,no,never,closely,long waits,yes,big thunder mountain railroad and studio tram tour,no,,,,yes,,the older people of the group who didn't know the park well.,very interesting device
73,19:34:00,4/23/2011,7,7,5,0,4,3,No,,No,,No,Not Used,Very Good,Please add restaurants and Shops,My group has not purchased any merchandise at Disneyland Paris Resort. ,,,"Cafe Hyperion, Disney Blockbuster Cafe",,,,,,,,,,,,,,,,,,,,,,,,
73,20:23:00,4/24/2011,6,7,7,2,4,6,no,,yes,times,yes,,very good,good,The Emporium,Merchandise offerings and store look and feel,200,Cowboy cookout barbeque,other- Characters,78,lunch and afternoon snack,"la cabane des robinson, flying carpets over agrabah, studio tram tour, cinemagique, armageddon, rock n roller coaster",,,,12,Male,yes,yes,never,loosely,long waits,yes,pirates,yes,buzz lightyear,no,,no,,,
73,19:35:00,4/28/2011,7,7,7,2,2,1,Yes,,Yes,Ink unreadable,No,laugue allowaid pas couprilieisble,Good,ink unreadable,"The Emporium, Plaza West Shop",Merchandise offerings,90,Au chalet de la marionette,wait times and proximity,40,Lunch,"le pays des contes de fees, Its a small world",its a small world,Pirates of the carribean,Ink unreadable,31,F,No,No,Never,,,Yes,Its a small world,No,,,,No,,,
73,20:11:00,4/29/2011,5,7,0,7,7,7,No,,No,,No,,Excellent,,"The Emporium, indiana Jones Adventure Outpost, Disney Store",Merchandise offerings and Store look and feel,100,Cafe Hyperion,Food offerings,30,Lunch,Its a small world  ,Pirates of the Carribean,Space mountain,Indiana jones,28,Male,no,no,Never,Does not apply did not have a plan,,Yes,Indiana Jones and Star tours,yes,Buzz lightyear and space mountain,yes,,no,,,none
73,18:30:00,4/30/2011,5,6,0,0,6,6,No,,No,,No,Already in 60 min. queue elsewhere,Very Good,,"The Emporium, Walt Disney Studios Store, Disney Store",Proximity,200,,Food Offerings,,Morning Snack,"It's a small world, Art of Disney Animation, Armageddon, Rock n Roller coaster, Tower of terror",Crush's Coaster,Space Mountain,RC,68,Female/Female/Male,No,No,Never,Does not apply - Did not have a plan,,No,,No,,,,No,,,"Quiz could be longer, battery power needs to be longer, belt clip, favorite option so you could monitor queue times for favorite rides easier, overall good idea."
73,19:29:00,4/27/2011,6,7,0,1,3,5,N,,n,,n,,Very Good,Useful,,"Other - when you leave an attraction, there are often stores",30,My group has not purchased any meals or snacks at the Disneyland Paris Resortthis trip - Skip to question 9,,,,"Captain EO, Rock 'n' Roller Coaster, Tower of Terror",Tower of Terror,Rock 'n' Roller Coaster,,14,m,n,n,Never,Does not apply (did not have a plan),,n,,y,Space Mountain,,,n,,,
73,19:35:00,4/28/2011,7,7,7,2,2,1,yes,,yes,,no,,good,,"The Emporium, plaza west shop",store look and feel,90,Au chalet de la marionette,"Wait times, proximity",40,Lunch,"Le pays des contes de fees, its a small world",Its a small world,Pirates of the carribean,,31,Female,no,no,never,,,yes,Its a small world,no,,,,no,,,
